X,Y,OBJECTID,advisorySpeed,areaUnitID,bicycle,bridge,bus,carStationWagon,cliffBank,crashDirectionDescription,crashFinancialYear,crashLocation1,crashLocation2,crashRoadSideRoad,crashSeverity,crashSHDescription,crashYear,debris,directionRoleDescription,ditch,fatalCount,fence,flatHill,guardRail,holiday,houseOrBuilding,intersection,kerb,light,meshblockId,minorInjuryCount,moped,motorcycle,NumberOfLanes,objectThrownOrDropped,otherObject,otherVehicleType,overBank,parkedVehicle,pedestrian,phoneBoxEtc,postOrPole,region,roadCharacter,roadLane,roadSurface,roadworks,schoolBus,seriousInjuryCount,slipOrFlood,speedLimit,strayAnimal,streetLight,suv,taxi,temporarySpeedLimit,tlaId,tlaName,trafficControl,trafficIsland,trafficSign,train,tree,truck,unknownVehicleType,urban,vanOrUtility,vehicle,waterRiver,weatherA,weatherB
1767878,5906664,124469,,523711,0,0,0,1,0,South,2011/2012,PRESTON ROAD,KUDU ROAD,,Serious Crash,No,2012,0,North,0,0,0,Flat,0,,0,,0,Overcast,714400,0,0,0,2,0,0,0,0,0,,0,0,Auckland Region,Nil,2-way,Sealed,0,0,1,0,50,0,Off,0,0,30,76,Auckland,Nil,0,0,0,0,1,0,Urban,0,1,0,Fine,Frost
1759386,5920526,124765,,515902,1,,0,0,,Null,2011/2012,TAMAKI DRIVE,SOLENT ST,,Serious Crash,No,2012,,West,,0,,Flat,,,,,,Dark,454800,1,0,0,5,,,0,,,1,,,Auckland Region,Nil,2-way,Sealed,,0,1,,50,,On,0,0,,76,Auckland,Traffic Signals,,,,,0,0,Urban,0,,,Light rain,Null
1740112,5928252,124874,,505604,0,,0,3,,South,2012/2013,SH 16,OLD RAILWAY ROAD,,Serious Crash,Yes,2012,,North,,0,,Flat,,,,,,Overcast,214501,5,0,0,2,,,0,,,,,,Auckland Region,Nil,2-way,Sealed,,0,1,,80,,None,2,0,,76,Auckland,Nil,,,,,0,0,Open,0,,,Fine,Null
1767565,5906551,125353,,523601,0,,0,1,,South,2012/2013,BAIRDS ROAD,OCONNOR ST,,Serious Crash,No,2013,,South,,0,,Flat,,,,,,Bright sun,706600,0,0,0,2,,,0,,,1,,,Auckland Region,Nil,2-way,Sealed,,0,1,,50,,Off,0,0,,76,Auckland,Nil,,,,,0,0,Urban,0,,,Fine,Null
1755208,5914415,125454,,518500,0,,0,1,,South,2011/2012,DOMINION ROAD,JASPER AVENUE,,Serious Crash,No,2012,,South,,0,,Flat,,,,,,Overcast,561000,0,0,0,4,,,0,,,1,,,Auckland Region,Nil,2-way,Sealed,,0,1,,50,,Off,0,0,,76,Auckland,Nil,,,,,0,0,Urban,0,,,Fine,Null
1754045,5926884,125495,,508620,0,,0,1,,North,2011/2012,ARCHERS ROAD,CORONATION ROAD,,Serious Crash,No,2012,,North,,0,,Hill Road,,,,,,Overcast,205100,2,0,0,2,,,0,,,,,,Auckland Region,Nil,2-way,Sealed,,0,1,,50,,Off,0,0,,76,Auckland,Nil,,,,,0,0,Urban,1,,,Light rain,Null
1754510,5921245,125637,,515201,0,,0,2,,Null,2011/2012,SARSFIELD ST,WALLACE ST,,Serious Crash,No,2012,,West,,0,,Flat,,,,,,Dark,422700,0,0,0,2,,,0,,,,,,Auckland Region,Nil,2-way,Sealed,,0,1,,50,,On,0,0,,76,Auckland,Stop,,,,,0,0,Urban,0,,,Fine,Null
1762378,5907446,125670,,524520,0,,0,0,,North,2012/2013,YATES ROAD,GROWERS LANE,,Serious Crash,No,2012,,East,,0,,Flat,,,,,,Overcast,734602,0,0,0,2,,,0,,,1,,,Auckland Region,Nil,2-way,Sealed,,0,1,,50,,Off,1,0,,76,Auckland,Nil,,,,,0,0,Urban,0,,,Fine,Null
1746324,5928845,125951,,513420,0,0,0,1,0,North,2012/2013,WAIMARIE ROAD,POHUTUKAWA ROAD,,Fatal Crash,No,2012,0,North,0,1,0,Flat,0,,0,,0,Dark,220800,0,0,0,2,0,0,0,1,0,,0,0,Auckland Region,Nil,2-way,Sealed,0,0,0,0,50,0,On,0,0,,76,Auckland,Nil,0,0,0,1,0,0,Urban,0,0,0,Fine,Null
1768605,5914032,125962,,522810,0,,0,1,,West,2011/2012,PAKURANGA ROAD,CASCADES ROAD,,Serious Crash,No,2012,,East,,0,,Flat,,,,,,Overcast,691300,0,1,0,6,,,0,,,,,,Auckland Region,Nil,2-way,Sealed,,0,1,,60,,Null,0,0,,76,Auckland,Unknown,,,,,0,0,Urban,0,,,Fine,Null
1752812,5914948,126207,,517902,0,,0,0,,East,2012/2013,HENDON AVENUE,HARGEST TERRACE W,,Serious Crash,No,2012,,East,,0,,Flat,,,,,,Overcast,518900,2,0,0,2,,,0,,,,,,Auckland Region,Nil,2-way,Sealed,,0,2,,50,,Off,2,0,,76,Auckland,Nil,,,,,0,0,Urban,0,,,Fine,Null
1771891,5898571,126253,,523912,0,0,0,1,0,North,2012/2013,PORCHESTER ROAD,WILLOW CAMP ROAD,,Serious Crash,No,2012,0,South,0,0,1,Flat,0,,0,,0,Dark,767400,1,0,0,2,0,0,0,0,0,,0,0,Auckland Region,Nil,2-way,Sealed,0,0,1,0,50,0,On,0,0,,76,Auckland,Nil,0,0,0,0,0,0,Urban,0,0,0,Fine,Null
1763438,5910622,126263,,521901,0,,0,0,,Null,2011/2012,PORTAGE ROAD,SALEYARDS ROAD,,Serious Crash,No,2012,,West,,0,,Flat,,,,,,Overcast,781900,0,1,0,4,,,0,,,,,,Auckland Region,Nil,2-way,Sealed,,0,1,,50,,Off,1,0,,76,Auckland,Stop,,,,,0,0,Urban,0,,,Light rain,Null
1751373,5877345,126521,,521151,0,0,0,1,0,North,2012/2013,AWHITU ROAD,MARAE O REHIA ROAD,,Serious Crash,No,2012,0,North,0,0,0,Hill Road,0,,0,,0,Dark,831200,0,0,0,2,0,1,0,0,0,,0,0,Auckland Region,Nil,2-way,Sealed,0,0,1,0,100,0,None,0,0,,76,Auckland,Unknown,0,0,0,0,0,0,Open,0,0,0,Light rain,Strong wind
1763688,5916437,126532,,517202,0,,0,2,,North,2011/2012,NGAHUE DRIVE,FLINT WAY,,Serious Crash,No,2012,,South,,0,,Flat,,,,,,Bright sun,465304,3,0,0,4,,,0,,,,,,Auckland Region,Nil,2-way,Sealed,,0,1,,50,,Off,0,0,,76,Auckland,Nil,,,,,0,0,Urban,0,,,Fine,Null
1756610,5920757,126829,,514102,0,,0,1,,Null,2011/2012,FANSHAWE ST,HALSEY ST,,Serious Crash,No,2012,,West,,0,,Flat,,,,,,Bright sun,432500,0,0,1,6,,,0,,,,,,Auckland Region,Nil,2-way,Sealed,,0,1,,50,,Off,0,0,,76,Auckland,Traffic Signals,,,,,0,0,Urban,0,,,Fine,Null
1765279,5907392,127172,,522301,0,0,0,1,0,South,2011/2012,GREAT SOUTH ROAD,KAUTAMI AVENUE,,Serious Crash,No,2012,0,North,0,0,0,Flat,0,,0,,0,Overcast,666100,1,0,0,2,0,0,0,0,0,,0,0,Auckland Region,Nil,2-way,Sealed,0,0,1,0,50,0,Off,1,0,,76,Auckland,Nil,0,0,0,0,0,0,Urban,0,1,0,Fine,Null
1749212,5918223,127364,,514801,0,0,0,0,0,West,2011/2012,SH 16,ROSEBANK OFF WBD,,Serious Crash,Yes,2012,0,West,0,0,0,Flat,1,,0,,0,Dark,390401,0,0,0,3,0,0,0,0,0,,0,0,Auckland Region,Nil,1-way,Sealed,0,0,1,0,100,0,On,1,0,,76,Auckland,Nil,0,0,0,0,0,0,Open,0,0,0,Fine,Null
1760350,5885015,127692,,521121,0,0,0,2,0,Null,2011/2012,GLENBROOK ROAD,KINGSEAT ROAD,,Serious Crash,No,2012,0,North,0,0,0,Flat,0,,0,,0,Dark,811200,0,0,0,2,0,0,0,0,0,,0,0,Auckland Region,Nil,2-way,Sealed,0,0,1,0,100,0,On,1,0,,76,Auckland,Stop,0,1,0,0,0,0,Open,0,0,0,Heavy rain,Null
1746882,5913414,127900,,511100,0,,0,0,,Null,2012/2013,GLENDALE ROAD,WOODVALE ROAD,,Serious Crash,No,2012,,North,,0,,Flat,,,,,,Bright sun,286400,0,1,0,2,,,0,,,,,,Auckland Region,Nil,2-way,Sealed,,0,2,,50,,Off,0,0,,76,Auckland,Give way,,,,,0,0,Urban,1,,,Fine,Null
